Initial Setup: num_clients=1, num_sigma_values=[5, 10, 15, 20], kappa_join_values=[0.3, 0.5, 0.8], N_r_values=[10, 20, 30]
num_sigma:15, kappa_join:0.3, N_r:10, f1_score:0.015966029723991505, precission:0.008050012845765179, recall:0.9591836734693877
num_sigma:10, kappa_join:0.8, N_r:10, f1_score:0.018704469383736953, precission:0.009443339960238568, recall:0.9693877551020408
num_sigma:10, kappa_join:0.5, N_r:10, f1_score:0.07652173913043478, precission:0.03996366939146231, recall:0.8979591836734694
num_sigma:15, kappa_join:0.3, N_r:20, f1_score:0.07804878048780489, precission:0.04079740380157627, recall:0.8979591836734694
num_sigma:10, kappa_join:0.3, N_r:10, f1_score:0.059582919563058584, precission:0.030790283954840916, recall:0.9183673469387755
num_sigma:10, kappa_join:0.8, N_r:20, f1_score:0.09601873536299767, precission:0.05093167701863354, recall:0.8367346938775511
num_sigma:10, kappa_join:0.5, N_r:20, f1_score:0.09071729957805907, precission:0.047830923248053395, recall:0.8775510204081632
num_sigma:15, kappa_join:0.5, N_r:10, f1_score:0.017948233515964484, precission:0.009057971014492754, recall:0.9693877551020408
num_sigma:10, kappa_join:0.3, N_r:20, f1_score:0.05021897810218978, precission:0.025849113315299068, recall:0.8775510204081632
num_sigma:10, kappa_join:0.8, N_r:30, f1_score:0.06368460955269144, precission:0.03307086614173228, recall:0.8571428571428571
num_sigma:15, kappa_join:0.8, N_r:10, f1_score:0.01959353830119854, precission:0.009897862482889333, recall:0.9591836734693877
num_sigma:10, kappa_join:0.5, N_r:30, f1_score:0.04438709677419355, precission:0.022769393698702674, recall:0.8775510204081632
num_sigma:5, kappa_join:0.3, N_r:30, f1_score:0.03208556149732621, precission:0.016338028169014085, recall:0.8877551020408163
num_sigma:10, kappa_join:0.3, N_r:30, f1_score:0.024314390726604466, precission:0.012327981651376147, recall:0.8775510204081632
num_sigma:5, kappa_join:0.5, N_r:10, f1_score:0.02644119907763259, precission:0.013422818791946308, recall:0.8775510204081632
num_sigma:5, kappa_join:0.8, N_r:30, f1_score:0.03132877205617573, precission:0.01594574780058651, recall:0.8877551020408163
num_sigma:5, kappa_join:0.5, N_r:30, f1_score:0.03132877205617573, precission:0.01594574780058651, recall:0.8877551020408163
num_sigma:15, kappa_join:0.5, N_r:20, f1_score:0.02221149203283438, precission:0.011238700219887612, recall:0.9387755102040817
num_sigma:5, kappa_join:0.5, N_r:20, f1_score:0.03235403495723317, precission:0.016477272727272726, recall:0.8877551020408163
num_sigma:5, kappa_join:0.3, N_r:10, f1_score:0.026925485284909203, precission:0.013672496025437202, recall:0.8775510204081632
num_sigma:5, kappa_join:0.3, N_r:20, f1_score:0.03238414293690676, precission:0.016492890995260665, recall:0.8877551020408163
num_sigma:5, kappa_join:0.8, N_r:10, f1_score:0.026588344411810173, precission:0.013498665829540103, recall:0.8775510204081632
num_sigma:5, kappa_join:0.8, N_r:20, f1_score:0.03235403495723317, precission:0.016477272727272726, recall:0.8877551020408163
num_sigma:15, kappa_join:0.3, N_r:30, f1_score:0.07258064516129033, precission:0.037783375314861464, recall:0.9183673469387755
num_sigma:15, kappa_join:0.5, N_r:30, f1_score:0.0818014705882353, precission:0.04282964388835419, recall:0.9081632653061225
num_sigma:15, kappa_join:0.8, N_r:20, f1_score:0.02561307901907357, precission:0.012979839823253245, recall:0.9591836734693877
num_sigma:20, kappa_join:0.3, N_r:10, f1_score:0.015374861309240765, precission:0.0077476038338658145, recall:0.9897959183673469
num_sigma:20, kappa_join:0.5, N_r:10, f1_score:0.016526109549365363, precission:0.008332617472725712, recall:0.9897959183673469
num_sigma:20, kappa_join:0.8, N_r:10, f1_score:0.017192484934420417, precission:0.008671553727874128, recall:0.9897959183673469
num_sigma:20, kappa_join:0.3, N_r:20, f1_score:0.02290748898678414, precission:0.01159678858162355, recall:0.9285714285714286
num_sigma:15, kappa_join:0.8, N_r:30, f1_score:0.053475935828877004, precission:0.027539779681762546, recall:0.9183673469387755
num_sigma:20, kappa_join:0.5, N_r:20, f1_score:0.013825220112057047, precission:0.006962257237083181, recall:0.9693877551020408
num_sigma:20, kappa_join:0.8, N_r:20, f1_score:0.01278380717757507, precission:0.006433885128342604, recall:0.9795918367346939
num_sigma:20, kappa_join:0.3, N_r:30, f1_score:0.08532249873031997, precission:0.04489577765900588, recall:0.8571428571428571
num_sigma:20, kappa_join:0.5, N_r:30, f1_score:0.020727673649393603, precission:0.010477039679001338, recall:0.9591836734693877
num_sigma:20, kappa_join:0.8, N_r:30, f1_score:0.015415495784825371, precission:0.007768875940762321, recall:0.9795918367346939
Round 1: Metrics: {'accuracy': 0.9828833257259225, 'precision': 0.0721951219512195, 'recall': 0.7551020408163265, 'f1_score': 0.13178984861976847}, ROC AUC: 0.9502393106933263
Round 1: Metrics: {'accuracy': 0.9204732979881325, 'precision': 0.018260869565217393, 'recall': 0.8571428571428571, 'f1_score': 0.03575989782886335}, ROC AUC: 0.9668527952120635

Round 1: Metrics: {'accuracy': 0.9204732979881325, 'precision': 0.018260869565217393, 'recall': 0.8571428571428571, 'f1_score': 0.03575989782886335}, ROC AUC: 0.9668527952120635

Round 2: Metrics: {'accuracy': 0.9463501983778659, 'precision': 0.028380102040816327, 'recall': 0.9081632653061225, 'f1_score': 0.05504019789734075}, ROC AUC: 0.9793938168261115

Round 1: Metrics: {'accuracy': 0.9423475299322355, 'precision': 0.025044722719141325, 'recall': 0.8571428571428571, 'f1_score': 0.048667439165701036}, ROC AUC: 0.981187839513971

Round 1: Metrics: {'accuracy': 0.9423475299322355, 'precision': 0.025044722719141325, 'recall': 0.8571428571428571, 'f1_score': 0.048667439165701036}, ROC AUC: 0.981187839513971

Round 2: Metrics: {'accuracy': 0.9709982093325374, 'precision': 0.05086705202312139, 'recall': 0.8979591836734694, 'f1_score': 0.0962800875273523}, ROC AUC: 0.9810107251960999

Round 1: Metrics: {'accuracy': 0.9987886661282961, 'precision': 0.6666666666666666, 'recall': 0.5918367346938775, 'f1_score': 0.6270270270270271}, ROC AUC: 0.8560168263985392

Round 1: Metrics: {'accuracy': 0.9441206418313963, 'precision': 0.02465331278890601, 'recall': 0.8163265306122449, 'f1_score': 0.047861202512713134}, ROC AUC: 0.9797127841006972

Round 1: Metrics: {'accuracy': 0.9298128576946034, 'precision': 0.02111984282907662, 'recall': 0.8775510204081632, 'f1_score': 0.04124700239808153}, ROC AUC: 0.9825717357849161

Round 1: Metrics: {'accuracy': 0.9525473122432498, 'precision': 0.03063063063063063, 'recall': 0.8673469387755102, 'f1_score': 0.05917159763313609}, ROC AUC: 0.9823388134094382

Round 1: Metrics: {'accuracy': 0.9525473122432498, 'precision': 0.03063063063063063, 'recall': 0.8673469387755102, 'f1_score': 0.05917159763313609}, ROC AUC: 0.9823388134094382

Round 2: Metrics: {'accuracy': 0.9703486534882905, 'precision': 0.04878048780487805, 'recall': 0.8775510204081632, 'f1_score': 0.092423428264374}, ROC AUC: 0.9884785969818428

Round 1: Metrics: {'accuracy': 0.9563217583652259, 'precision': 0.03247261345852895, 'recall': 0.8469387755102041, 'f1_score': 0.06254709871891484}, ROC AUC: 0.9745958491725335

Round 1: Metrics: {'accuracy': 0.9932235525438011, 'precision': 0.17272727272727273, 'recall': 0.7755102040816326, 'f1_score': 0.2825278810408922}, ROC AUC: 0.9732517901645745

Round 1: Metrics: {'accuracy': 0.9869737719883431, 'precision': 0.09950248756218906, 'recall': 0.8163265306122449, 'f1_score': 0.17738359201773837}, ROC AUC: 0.9670918187899809

Round 1: Metrics: {'accuracy': 0.9869737719883431, 'precision': 0.09950248756218906, 'recall': 0.8163265306122449, 'f1_score': 0.17738359201773837}, ROC AUC: 0.9670918187899809

Round 2: Metrics: {'accuracy': 0.9897651065622696, 'precision': 0.12749615975422426, 'recall': 0.8469387755102041, 'f1_score': 0.22162883845126835}, ROC AUC: 0.9642500940302964

Round 1: Metrics: {'accuracy': 0.9962079983146659, 'precision': 0.2781954887218045, 'recall': 0.7551020408163265, 'f1_score': 0.40659340659340654}, ROC AUC: 0.9545338394220941

Round 1: Metrics: {'accuracy': 0.9962079983146659, 'precision': 0.2781954887218045, 'recall': 0.7551020408163265, 'f1_score': 0.40659340659340654}, ROC AUC: 0.9545338394220941

Round 2: Metrics: {'accuracy': 0.9792142129840946, 'precision': 0.06629392971246006, 'recall': 0.8469387755102041, 'f1_score': 0.12296296296296297}, ROC AUC: 0.975884638464277

Round 1: Metrics: {'accuracy': 0.992468663319406, 'precision': 0.15592515592515593, 'recall': 0.7653061224489796, 'f1_score': 0.2590673575129534}, ROC AUC: 0.9789135265811445

Round 1: Metrics: {'accuracy': 0.992468663319406, 'precision': 0.15592515592515593, 'recall': 0.7653061224489796, 'f1_score': 0.2590673575129534}, ROC AUC: 0.9789135265811445

Round 2: Metrics: {'accuracy': 0.9937853305712581, 'precision': 0.18316831683168316, 'recall': 0.7551020408163265, 'f1_score': 0.2948207171314741}, ROC AUC: 0.9740094159498351

Round 1: Metrics: {'accuracy': 0.9981742214107651, 'precision': 0.47619047619047616, 'recall': 0.6122448979591837, 'f1_score': 0.5357142857142858}, ROC AUC: 0.9419161938832934

Round 1: Metrics: {'accuracy': 0.9981742214107651, 'precision': 0.47619047619047616, 'recall': 0.6122448979591837, 'f1_score': 0.5357142857142858}, ROC AUC: 0.9419161938832934

Round 2: Metrics: {'accuracy': 0.9984024437344194, 'precision': 0.5309734513274337, 'recall': 0.6122448979591837, 'f1_score': 0.5687203791469194}, ROC AUC: 0.9416610200636247

Round 1: Metrics: {'accuracy': 0.994434886415505, 'precision': 0.19498607242339833, 'recall': 0.7142857142857143, 'f1_score': 0.3063457330415755}, ROC AUC: 0.9426144226683358

Round 1: Metrics: {'accuracy': 0.994434886415505, 'precision': 0.19498607242339833, 'recall': 0.7142857142857143, 'f1_score': 0.3063457330415755}, ROC AUC: 0.9426144226683358

Round 2: Metrics: {'accuracy': 0.9948386643727397, 'precision': 0.20833333333333334, 'recall': 0.7142857142857143, 'f1_score': 0.3225806451612903}, ROC AUC: 0.9413084064520576

Round 1: Metrics: {'accuracy': 0.9977528878901724, 'precision': 0.39285714285714285, 'recall': 0.5612244897959183, 'f1_score': 0.4621848739495798}, ROC AUC: 0.9160745509515005

Round 1: Metrics: {'accuracy': 0.9977528878901724, 'precision': 0.39285714285714285, 'recall': 0.5612244897959183, 'f1_score': 0.4621848739495798}, ROC AUC: 0.9160745509515005

Round 2: Metrics: {'accuracy': 0.9979108879603946, 'precision': 0.41732283464566927, 'recall': 0.5408163265306123, 'f1_score': 0.47111111111111115}, ROC AUC: 0.9142571104131018

Round 1: Metrics: {'accuracy': 0.9910993293774797, 'precision': 0.13153153153153152, 'recall': 0.7448979591836735, 'f1_score': 0.223583460949464}, ROC AUC: 0.9627197689008073

Round 1: Metrics: {'accuracy': 0.9982795547909132, 'precision': 0.0, 'recall': 0.0, 'f1_score': 0.0}, ROC AUC: 0.5

Round 1: Metrics: {'accuracy': 0.9982795547909132, 'precision': 0.0, 'recall': 0.0, 'f1_score': 0.0}, ROC AUC: 0.5

Round 2: Metrics: {'accuracy': 0.9982795547909132, 'precision': 0.0, 'recall': 0.0, 'f1_score': 0.0}, ROC AUC: 0.5

Round 1: Metrics: {'accuracy': 0.9985428882412837, 'precision': 0.5773195876288659, 'recall': 0.5714285714285714, 'f1_score': 0.5743589743589743}, ROC AUC: 0.855872550905562

Round 1: Metrics: {'accuracy': 0.9985428882412837, 'precision': 0.5773195876288659, 'recall': 0.5714285714285714, 'f1_score': 0.5743589743589743}, ROC AUC: 0.855872550905562

Round 2: Metrics: {'accuracy': 0.9987008883115059, 'precision': 0.6578947368421053, 'recall': 0.5102040816326531, 'f1_score': 0.574712643678161}, ROC AUC: 0.858417470111286

Round 1: Metrics: {'accuracy': 0.99875355500158, 'precision': 0.7647058823529411, 'recall': 0.3979591836734694, 'f1_score': 0.523489932885906}, ROC AUC: 0.7758118547081185

Round 1: Metrics: {'accuracy': 0.9412941961307538, 'precision': 0.02516091281451141, 'recall': 0.8775510204081632, 'f1_score': 0.048919226393629126}, ROC AUC: 0.9661778048304296

Round 1: Metrics: {'accuracy': 0.9987008883115059, 'precision': 0.6276595744680851, 'recall': 0.6020408163265306, 'f1_score': 0.6145833333333334}, ROC AUC: 0.8569620641588093

Round 1: Metrics: {'accuracy': 0.9987008883115059, 'precision': 0.6276595744680851, 'recall': 0.6020408163265306, 'f1_score': 0.6145833333333334}, ROC AUC: 0.8569620641588093

Round 2: Metrics: {'accuracy': 0.9987711105649381, 'precision': 0.6794871794871795, 'recall': 0.5408163265306123, 'f1_score': 0.6022727272727273}, ROC AUC: 0.8357730367048338

Round 1: Metrics: {'accuracy': 0.9984199992977775, 'precision': 0.5350877192982456, 'recall': 0.6224489795918368, 'f1_score': 0.5754716981132075}, ROC AUC: 0.87646751863379

Round 1: Metrics: {'accuracy': 0.9984199992977775, 'precision': 0.5350877192982456, 'recall': 0.6224489795918368, 'f1_score': 0.5754716981132075}, ROC AUC: 0.87646751863379

Round 2: Metrics: {'accuracy': 0.9988413328183702, 'precision': 0.7162162162162162, 'recall': 0.5408163265306123, 'f1_score': 0.6162790697674418}, ROC AUC: 0.891818861759673

Round 1: Metrics: {'accuracy': 0.998718443874864, 'precision': 0.6666666666666666, 'recall': 0.5102040816326531, 'f1_score': 0.5780346820809249}, ROC AUC: 0.8462896255153722

Round 1: Metrics: {'accuracy': 0.998718443874864, 'precision': 0.6666666666666666, 'recall': 0.5102040816326531, 'f1_score': 0.5780346820809249}, ROC AUC: 0.8462896255153722

Round 2: Metrics: {'accuracy': 0.9988062216916541, 'precision': 0.7678571428571429, 'recall': 0.4387755102040816, 'f1_score': 0.5584415584415584}, ROC AUC: 0.8112890907629231

Round 1: Metrics: {'accuracy': 0.99875355500158, 'precision': 0.68, 'recall': 0.5204081632653061, 'f1_score': 0.5895953757225434}, ROC AUC: 0.8627313791301553

Round 1: Metrics: {'accuracy': 0.99875355500158, 'precision': 0.68, 'recall': 0.5204081632653061, 'f1_score': 0.5895953757225434}, ROC AUC: 0.8627313791301553

Round 2: Metrics: {'accuracy': 0.9986482216214319, 'precision': 0.6721311475409836, 'recall': 0.41836734693877553, 'f1_score': 0.5157232704402516}, ROC AUC: 0.8498576625360329

Round 1: Metrics: {'accuracy': 0.9987886661282961, 'precision': 0.6559139784946236, 'recall': 0.6224489795918368, 'f1_score': 0.6387434554973822}, ROC AUC: 0.816585652268786

Round 1: Metrics: {'accuracy': 0.9987886661282961, 'precision': 0.6559139784946236, 'recall': 0.6224489795918368, 'f1_score': 0.6387434554973822}, ROC AUC: 0.816585652268786

Round 2: Metrics: {'accuracy': 0.9987886661282961, 'precision': 0.7636363636363637, 'recall': 0.42857142857142855, 'f1_score': 0.5490196078431372}, ROC AUC: 0.7741429963938304

Round 1: Metrics: {'accuracy': 0.9987711105649381, 'precision': 0.675, 'recall': 0.5510204081632653, 'f1_score': 0.6067415730337078}, ROC AUC: 0.8412610682990135

Round 1: Metrics: {'accuracy': 0.9987711105649381, 'precision': 0.675, 'recall': 0.5510204081632653, 'f1_score': 0.6067415730337078}, ROC AUC: 0.8412610682990135

Round 2: Metrics: {'accuracy': 0.9987886661282961, 'precision': 0.7636363636363637, 'recall': 0.42857142857142855, 'f1_score': 0.5490196078431372}, ROC AUC: 0.7954902064934022

Round 1: Metrics: {'accuracy': 0.9989115550718023, 'precision': 0.7195121951219512, 'recall': 0.6020408163265306, 'f1_score': 0.6555555555555556}, ROC AUC: 0.9132298653141617

Round 1: Metrics: {'accuracy': 0.9989115550718023, 'precision': 0.7195121951219512, 'recall': 0.6020408163265306, 'f1_score': 0.6555555555555556}, ROC AUC: 0.9132298653141617

Round 2: Metrics: {'accuracy': 0.9989642217618764, 'precision': 0.7532467532467533, 'recall': 0.5918367346938775, 'f1_score': 0.6628571428571429}, ROC AUC: 0.9089243005868639

Round 1: Metrics: {'accuracy': 0.9989993328885924, 'precision': 0.7733333333333333, 'recall': 0.5918367346938775, 'f1_score': 0.6705202312138728}, ROC AUC: 0.9003941017881547

Round 1: Metrics: {'accuracy': 0.9989993328885924, 'precision': 0.7733333333333333, 'recall': 0.5918367346938775, 'f1_score': 0.6705202312138728}, ROC AUC: 0.9003941017881547

Round 2: Metrics: {'accuracy': 0.9990519995786665, 'precision': 0.8055555555555556, 'recall': 0.5918367346938775, 'f1_score': 0.6823529411764706}, ROC AUC: 0.8987894855466103

Round 1: Metrics: {'accuracy': 0.9864119939608862, 'precision': 0.10141509433962265, 'recall': 0.8775510204081632, 'f1_score': 0.1818181818181818}, ROC AUC: 0.9237541703513145

Round 1: Metrics: {'accuracy': 0.9864119939608862, 'precision': 0.10141509433962265, 'recall': 0.8775510204081632, 'f1_score': 0.1818181818181818}, ROC AUC: 0.9237541703513145

Round 2: Metrics: {'accuracy': 0.9947508865559496, 'precision': 0.22160664819944598, 'recall': 0.8163265306122449, 'f1_score': 0.34858387799564267}, ROC AUC: 0.897619849149564

Round 1: Metrics: {'accuracy': 0.9857975492433552, 'precision': 0.09830508474576272, 'recall': 0.8877551020408163, 'f1_score': 0.17700915564598171}, ROC AUC: 0.9400510204081632

Round 1: Metrics: {'accuracy': 0.9857975492433552, 'precision': 0.09830508474576272, 'recall': 0.8877551020408163, 'f1_score': 0.17700915564598171}, ROC AUC: 0.9400510204081632

Round 2: Metrics: {'accuracy': 0.9915382184614304, 'precision': 0.15467625899280577, 'recall': 0.8775510204081632, 'f1_score': 0.26299694189602446}, ROC AUC: 0.9510315697747866

Round 1: Metrics: {'accuracy': 0.9272497454443314, 'precision': 0.022201228153046763, 'recall': 0.9591836734693877, 'f1_score': 0.04339796860572483}, ROC AUC: 0.9700197678959035

Round 1: Metrics: {'accuracy': 0.9272497454443314, 'precision': 0.022201228153046763, 'recall': 0.9591836734693877, 'f1_score': 0.04339796860572483}, ROC AUC: 0.9700197678959035

Round 2: Metrics: {'accuracy': 0.9440504195779642, 'precision': 0.028108768713718302, 'recall': 0.9387755102040817, 'f1_score': 0.05458320973005043}, ROC AUC: 0.9749951190380485

Round 1: Metrics: {'accuracy': 0.991906885291949, 'precision': 0.16074766355140188, 'recall': 0.8775510204081632, 'f1_score': 0.2717219589257504}, ROC AUC: 0.915700762578526

